title,prefecture,review_count,checkin_month,checkin_day,checkout_month,checkout_day,restaurant,pool,airport_shuttle,beach,parking,24-hour_front_desk,laundry,garden,heating,daily_housekeeping,facilities_for_disabled_guests,family_rooms,tea/coffee_maker_in_all_rooms,bar,spa,fitness_center,room_service,baggage_storage,air_conditioning,terrace,hot_spring_bath,elevator,designated_smoking_area,skiing,price
Keio Prelia Hotel Sapporo,Hokkaido,2165.0,11,24,11,29,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,32393.0
Hotel 385,Okinawa,615.0,11,10,11,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25462.0
Onomichi Kokusai Hotel,Hiroshima,817.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24946.0
Hotel Francs,Chiba,2442.0,10,27,11,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35833.0
HOTEL R9 The Yard Tomioka,Gunma,195.0,11,24,11,29,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,23331.0
KAIKA Tokyo by THE SHARE HOTELS,Tokyo,3731.0,10,27,11,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,50540.0
APA Hotel Niigata Furumachi,Niigata,1558.0,11,24,11,29,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21193.0
Sotetsu Fresa Inn Sapporo-Susukino,Hokkaido,3340.0,11,3,11,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16924.0
20 PIECES,Kyoto,879.0,10,13,10,18,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,73144.0
Dormy Inn Premium Kyoto Ekimae Natural Hot Spring,Kyoto,2544.0,10,13,10,18,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,69020.0
hotel aima,Tokyo,1358.0,11,3,11,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,110435.0
Mitsui Garden Hotel Kyoto Shijo,Kyoto,4196.0,10,13,10,18,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76068.0
il azzurri,Shizuoka,679.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,53370.0
Hotel Goryukan,Nagano,430.0,11,3,11,8,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,51912.0
Hotel GrandBach Sendai,Miyagi,3011.0,11,24,11,29,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31220.0
Travelodge Kyoto Shijo Kawaramachi,Kyoto,3573.0,10,13,10,18,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,39057.0
